koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,label
CONFIRMED,0,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,0.022344,0.000832,-0.000528,3.20796,0.33173,-1.09986,2.26,0.26,-0.15,0.0853,89.66,793.0,93.59,29.45,-16.65,24.81,2.6,-2.6,0.0,0.0,0.2291,0.4603,5.135849,28.47082,35.8,2,142.0,1.0,0.6864,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.002,19.462294,1.4e-05,48.14191,0.00013,0.43,0.51,0.94,0.48,-0.0002,0.00032,-0.00055,0.00031,-0.01,0.13,0.2,0.16,0.2,0.17,0.08,0.13,0.31,0.17,0.32,0.16,0
CONFIRMED,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,2454995.514,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,0.027954,0.009078,-0.001347,3.02368,2.20489,-2.49638,2.83,0.32,-0.19,0.2734,89.57,443.0,9.11,2.87,-1.62,77.9,28.4,-28.4,0.0,0.0,0.2291,0.4603,7.027669,20.109507,25.8,2,25.0,2.0,0.0023,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.003,19.462265,2e-05,48.14199,0.00019,-0.63,0.72,1.23,0.68,0.00066,0.00065,-0.00105,0.00063,0.39,0.36,0.0,0.48,0.39,0.36,0.49,0.34,0.12,0.73,0.5,0.45,0
CANDIDATE,0,0,0,0,19.89913995,1.494e-05,-1.494e-05,175.850252,0.000581,-0.000581,2455008.85,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,0.154046,5.034292,-0.042179,7.29555,35.03293,-2.75453,14.6,3.92,-1.31,0.1419,88.96,638.0,39.3,31.04,-10.49,53.5,25.7,-25.7,0.0,0.0,0.2711,0.3858,37.159767,187.4491,76.3,1,56.0,1.0,0.6624,5853.0,158.0,-176.0,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.278,19.8003207,1.9e-06,48.13412,2e-05,-0.021,0.069,-0.038,0.071,0.0007,0.0024,0.0006,0.0034,-0.025,0.07,-0.034,0.07,0.042,0.072,0.002,0.071,-0.027,0.074,0.027,0.074,2
FALSE POSITIVE,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,2455003.308,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,0.387394,0.109232,-0.08495,0.2208,0.00917,-0.01837,33.46,8.5,-2.83,0.0267,67.09,1395.0,891.96,668.95,-230.35,3.278,0.136,-0.136,0.0,0.0,0.2865,0.3556,39.06655,541.8951,505.6,1,621.0,1.0,0.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,285.53461,48.28521,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809,0.0,19.03563762,8.6e-07,48.2852105,7.4e-06,-0.111,0.031,0.002,0.027,0.00302,0.00057,-0.00142,0.00081,-0.249,0.072,0.147,0.078,0.289,0.079,-0.257,0.072,0.099,0.077,0.276,0.076,1
CONFIRMED,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,2455004.596,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,0.024064,0.003751,-0.001522,1.98635,2.71141,-1.74541,2.75,0.88,-0.35,0.0374,85.41,1406.0,926.16,874.33,-314.24,8.75,4.0,-4.0,0.0,0.0,0.2844,0.3661,4.749945,33.1919,40.9,1,515.0,1.0,0.309,6031.0,169.0,-211.0,4.438,0.07,-0.21,0.07,0.25,-0.3,1.046,0.334,-0.133,1.095,0.151,-0.136,288.75488,48.2262,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.2503258,9.7e-06,48.22626,0.0001,-0.01,0.35,0.23,0.37,8e-05,0.0002,-7e-05,0.00022,0.03,0.19,-0.09,0.18,0.1,0.14,0.07,0.18,0.02,0.16,0.07,0.2,0
CONFIRMED,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,171.20116,0.00141,-0.00141,2455004.201,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,0.036779,0.005115,-0.001065,0.67324,0.33286,-0.38858,3.9,1.27,-0.42,0.0992,88.11,835.0,114.81,112.85,-36.7,16.36,8.1,-8.1,0.0,0.0,0.2889,0.3511,9.046456,55.204865,66.5,3,95.0,1.0,0.0975,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.7524061,6.1e-06,48.22471,6.5e-05,-0.12,0.22,0.14,0.24,4e-05,0.00034,,,0.04,0.12,-0.07,0.11,0.08,0.13,-0.02,0.13,-0.08,0.1,0.08,0.1,0
CONFIRMED,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,2455005.979,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,0.026133,0.001968,-0.002055,0.37377,0.74768,-0.26357,2.77,0.9,-0.3,0.0514,83.72,1160.0,427.65,420.33,-136.7,6.96,2.8,-2.8,0.0,0.0,0.2889,0.3511,5.500643,33.546658,40.2,3,240.0,2.0,0.546,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752413,1e-05,48.22458,0.00011,0.14,0.36,-0.32,0.4,-0.00016,0.00025,,,0.25,0.14,0.09,0.16,0.26,0.16,0.18,0.15,0.06,0.15,0.19,0.17,0
CONFIRMED,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,2455012.554,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,0.014983,0.003935,-0.001417,0.48909,0.95593,-0.45121,1.59,0.52,-0.17,0.0374,82.17,1360.0,807.74,793.91,-258.2,5.54,2.7,-2.7,0.0,0.0,0.2889,0.3511,4.3886313,12.325094,15.0,3,355.0,3.0,0.4352,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752412,2.8e-05,48.22476,0.0003,0.1,1.0,0.3,1.1,-4e-05,0.00021,,,-0.33,0.33,-0.3,0.21,0.45,0.28,-0.41,0.33,-0.29,0.21,0.5,0.3,0
FALSE POSITIVE,0,1,1,0,7.36178958,2.128e-05,-2.128e-05,132.25053,0.00253,-0.00253,2454965.251,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,0.183387,7.128076,-0.043131,0.00485,0.27864,-0.00053,39.21,6.45,-9.67,0.082,60.92,1342.0,767.22,349.28,-365.49,2.4,1.2,-1.2,0.0,0.0,0.305,0.3201,10.964684,46.15308,47.7,1,185.0,1.0,0.7213,6227.0,111.0,-124.0,3.986,0.182,-0.098,0.0,0.15,-0.15,1.958,0.322,-0.483,1.358,0.121,-0.207,298.86435,42.151569,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396,0.0,19.9239534,6.4e-06,42.158262,6.2e-05,-13.45,0.25,24.09,0.22,0.003032,6.2e-05,-0.005549,5.8e-05,-4.506,0.071,7.71,0.072,8.93,0.074,-4.537,0.071,7.713,0.074,8.948,0.077,1
CONFIRMED,0,0,0,0,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,2455006.622,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,5.76,0.22,-0.49,0.1158,89.92,600.0,30.75,4.46,-6.66,36.85,1.2,-1.2,0.0,0.0,0.1451,0.582,20.457163,137.44981,161.9,3,69.0,1.0,0.1819,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.063,19.1332989,2.5e-06,48.375778,2.4e-05,0.033,0.091,-0.044,0.086,0.00026,0.00063,0.00049,0.00078,0.041,0.075,-0.015,0.073,0.044,0.075,0.005,0.075,0.03,0.082,0.031,0.081,0
